#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 8
#T= 1200
#K_GROUP= 1
#AREA= 300
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 1200.000000000004
#SIMULATION_SPEED= 1200.000000000004
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
44,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,92001,85392,6609,0,0,81258,10743,0,0,0,0,0,0,0,0
45,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",65,0,78215,73277,4938,0,0,70679,7536,0,0,0,0,0,0,0,0
46,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",2,0,60461,56420,4041,0,0,54778,5683,0,0,0,0,0,0,0,0
47,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,67517,62878,4639,0,0,60636,6881,0,0,0,0,0,0,0,0
48,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",3,1,92020,79733,12286,5,0,77288,14726,0,5,0,0,0,0,0,0
49,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",38,1,104834,89922,14911,6,0,87256,17569,0,6,1,0,1,0,0,0
50,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,68705,63942,4763,0,0,61566,7139,0,0,0,0,0,0,0,0
51,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,75771,70448,5323,0,0,67472,8299,0,0,0,0,0,0,0,0
52,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",42,1,103147,86689,16457,11,0,83950,19173,0,8,6,4,4,0,1,0
53,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",79,0,81690,76287,5403,0,0,73230,8460,0,0,0,0,0,0,0,0
54,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",30,0,66228,61718,4510,0,0,59592,6636,0,0,0,0,0,0,0,0
55,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,53149,49342,3807,0,0,47911,5238,0,0,0,0,0,0,0,0
56,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",123,0,80685,75661,5024,0,0,72867,7818,0,0,0,0,0,0,0,0
57,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,74440,69572,4868,0,0,67072,7368,0,0,0,0,0,0,0,0
58,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",1,0,89362,83917,5445,2,0,80800,8558,0,2,1,0,1,0,0,0
59,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,90461,83780,6681,0,0,79504,10957,0,0,0,0,0,0,0,0
60,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,55164,51202,3962,0,0,49576,5588,0,0,0,0,0,0,0,0
61,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,67275,61650,5625,0,0,58428,8847,0,0,0,0,0,0,0,0
62,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,72228,67692,4536,0,0,65513,6715,0,0,0,0,0,0,0,0
63,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,98730,92142,6588,0,0,88005,10725,0,0,0,0,0,0,0,0
64,0,1200.000000000004,1200.000000000004,7,"[65, 66, 72, 71, 70, 67, 68]",0,0,60696,56494,4202,0,0,54735,5961,0,0,0,0,0,0,0,0
