#PROJECT_NAME= MUDE
#TRANSMISSION_RANGE= 20
#N= 64
#K= 16
#T= 900
#K_GROUP= 5
#AREA= 400
#V_UAV= 10
#V_SENSOR= 5
#SIMULATION_START_TIME= 0
#SIMULATION_FINISH_TIME= 900.0000000001361
#SIMULATION_SPEED= 900.0000000001361
#SCANNING_TYPE= ScanningType.ZIGZAG_LMAT
id,initial_time,final_time,sensor_speed,sensors_found,sensor_list,sensor_detection,change_route,messages_total,messages_received,messages_sent,messages_consensus,message_request,message_response,message_ping,message_group_sensor_detection,message_sensor_detection_ack,message_sensor_detection_nack,message_route_change,message_route_change_ack,message_route_change_nack,message_route_change_decided
26,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",46,0,64211,61162,3049,0,0,59847,4364,0,0,0,0,0,0,0,0
27,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,74096,70928,3168,0,0,69557,4539,0,0,0,0,0,0,0,0
28,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",29,1,79152,67068,12083,9,0,65109,14027,0,8,1,1,4,0,1,0
29,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,75075,71420,3655,0,0,69524,5551,0,0,0,0,0,0,0,0
30,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,48034,45268,2766,0,0,44284,3750,0,0,0,0,0,0,0,0
31,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,48563,45654,2909,0,0,44578,3985,0,0,0,0,0,0,0,0
32,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",10,1,99997,86034,13962,10,0,81424,18556,0,8,2,0,5,1,0,0
33,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",86,0,74471,71048,3423,0,0,69354,5117,0,0,0,0,0,0,0,0
34,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",45,0,57679,54733,2946,0,0,53546,4133,0,0,0,0,0,0,0,0
35,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",194,0,78337,74826,3511,0,0,72959,5378,0,0,0,0,0,0,0,0
36,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,73879,70448,3431,0,0,68832,5047,0,0,0,0,0,0,0,0
37,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,51527,48896,2631,0,0,48068,3459,0,0,0,0,0,0,0,0
38,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",10,0,70496,67234,3262,0,0,65758,4738,0,0,0,0,0,0,0,0
39,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",78,0,73444,69702,3742,2,0,67660,5780,0,2,1,0,1,0,0,0
40,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,66362,63150,3212,0,0,61712,4650,0,0,0,0,0,0,0,0
41,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,50317,47380,2937,0,0,46249,4068,0,0,0,0,0,0,0,0
42,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,56899,53868,3031,0,0,52614,4285,0,0,0,0,0,0,0,0
43,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,59324,56230,3094,0,0,54949,4375,0,0,0,0,0,0,0,0
44,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,48684,45990,2694,0,0,45105,3579,0,0,0,0,0,0,0,0
45,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",36,0,54284,51452,2832,0,0,50374,3910,0,0,0,0,0,0,0,0
46,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",43,0,62141,58777,3364,0,0,57191,4950,0,0,0,0,0,0,0,0
47,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",98,1,132373,98083,34289,31,0,94134,38181,0,13,22,0,11,4,7,0
48,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",109,0,70088,66601,3487,0,0,64847,5241,0,0,0,0,0,0,0,0
49,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",81,0,72477,68539,3938,0,0,66361,6116,0,0,0,0,0,0,0,0
50,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,82032,76503,5529,11,0,74481,7528,0,8,7,0,7,1,0,0
51,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,83661,79348,4313,2,0,76844,6813,0,2,1,0,1,0,0,0
52,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",101,0,75592,72153,3439,0,0,70429,5163,0,0,0,0,0,0,0,0
53,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",105,0,84345,79938,4407,1,0,77210,7132,0,0,0,0,2,0,1,0
54,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,81621,76478,5143,0,0,73177,8444,0,0,0,0,0,0,0,0
55,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,50489,47554,2935,0,0,46413,4076,0,0,0,0,0,0,0,0
56,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,46060,43228,2832,0,0,42221,3839,0,0,0,0,0,0,0,0
57,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",132,1,135105,100423,34681,38,0,96379,38659,0,19,27,1,7,9,3,0
58,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,72313,68902,3411,0,0,67315,4998,0,0,0,0,0,0,0,0
59,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",51,0,88718,82302,6416,7,0,78884,9819,0,4,5,0,5,1,0,0
60,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,61578,58184,3394,0,0,56631,4947,0,0,0,0,0,0,0,0
61,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",53,2,76977,68751,8224,5,0,67098,9872,0,5,0,0,0,0,0,0
62,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,49830,46872,2958,0,0,45711,4119,0,0,0,0,0,0,0,0
63,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,47517,44844,2673,0,0,43979,3538,0,0,0,0,0,0,0,0
64,0,900.0000000001361,900.0000000001361,12,"[72, 75, 65, 76, 69, 78, 77, 70, 68, 66, 74, 71]",0,0,46753,44104,2649,0,0,43207,3546,0,0,0,0,0,0,0,0
